ID,Hylak_id,latitude,longitude,Name,Type,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
8788,953,-23.2594,-49.0903,Jurumirim, Reservoir,Brazil,South America,SWBD,2,2414,373.64,821.66,11.9899998,7008,7008,2,18.7999992,155.18,522.7,560,4.6900001,17806.8,-49.229344,-23.212197
137,155,10.369,4.5621,Kainji, Lake,Nigeria,Africa,SWBD,2,3640,1034.85,571.05,5.0100002,15000,15000,2,14.5,1388.535,125,139,-1,1571130,4.612749,9.866081
3779,15118,32.3407,65.1822,Kajaki, Reservoir,Afghanistan,Asia,SWBD,2,4715,42.72,105.83,4.5700002,2680,2680,2,62.7000008,199.645,155.4,1010,5.2600002,46815.2,65.120164,32.321458
290,335,62.319,-101.6647,Kamilukuak,Unkownn,Canada,North America,CanVec,1,0,660.74,739.97,8.1199999,13943.1,0,1,21.1000004,22.409,7201.5,247,-1,4483.1,-101.831273,62.5149
251,135,43.7986,77.6294,Kapchagay, Reservoir,Kazakhstan,Asia,SWBD,2,4789,1205.95,297.84,2.4200001,28100,28100,2,23.2999992,197.454,1647.1,475,-1,113657.6,77.103595,43.92173
79,14,41.2943,53.6682,Kara-Bogaz-Gol, Lake,Turkmenistan,Asia,SWBD,1,0,18666.8,961.87,1.99,1885347,0,1,101,0,-1,-30,-1,25529.4,52.912913,41.056625
221,1337,38.4511,38.5806,Karakaya Baraji, Reservoir,Turkey,Asia,SWBD,2,4431,194.88,381.59,7.71,9580,9580,2,49.2000008,672.268,164.9,675,8.9799995,79632.6,39.136667,38.228336
31,172,-16.8519,28.0701,Kariba, Lake,Zambia,Africa,SWBD,2,4056,5276.89,3119.53,12.1099997,185000,185000,2,35.0999985,1315.381,1627.8,487,-1,679343.6,28.760417,-16.522917
2817,1365917,40.9528,85.207,Ka`er Quga, Reservoir,China,Asia,SWBD,1,0,0.54,3.85,1.48,0.75,0,3,1.4,0.003,2908.5,909,0.27,9.1,85.212683,40.936426
311,291,63.9263,-121.5816,Keller,Unkownn,Canada,North America,CanVec,1,0,391.42,125.21,1.79,3127.48,0,3,8,6.082,5951.6,233,1.16,1579,-121.519014,64.055865
